Year,Year-Month,Year-Quarter,Township,State/Region,Township pcode,Channel,Indicator Name,Program,Total
2022,2022-01,2022-Q1,Maubin,Ayeyarwady,MMR017019,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Mawlamyine,Mon,MMR011001,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Mawlamyinegyun,Ayeyarwady,MMR017018,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Mawlamyinegyun,Ayeyarwady,MMR017018,SQH,TB cases diagnosed and treated_Sun,TB,14
2022,2022-01,2022-Q1,Mayangone,Yangon,MMR013042,CBTBC,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Mayangone,Yangon,MMR013042,SQH,TB cases diagnosed and treated_Sun,TB,9
2022,2022-01,2022-Q1,Meiktila,Mandalay,MMR010028,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Meiktila,Mandalay,MMR010028,SQH,TB cases diagnosed and treated_Sun,TB,13
2022,2022-01,2022-Q1,Mingaladon,Yangon,MMR013002,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Mingaladon,Yangon,MMR013002,Drug Seller,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Mingaladon,Yangon,MMR013002,SQH,TB cases diagnosed and treated_Sun,TB,19
2022,2022-01,2022-Q1,Mogoke,Mandalay,MMR010011,CBTBC,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Mogoke,Mandalay,MMR010011,SQH,TB cases diagnosed and treated_Sun,TB,18
2022,2022-01,2022-Q1,Mohnyin,Kachin,MMR001007,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Monywa,Sagaing,MMR005012,Drug Seller,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Monywa,Sagaing,MMR005012,SQH,TB cases diagnosed and treated_Sun,TB,19
2022,2022-01,2022-Q1,Mudon,Mon,MMR011005,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Myaungmya,Ayeyarwady,MMR017014,Drug Seller,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Myaungmya,Ayeyarwady,MMR017014,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Myawaddy,Kayin,MMR003005,SQH,TB cases diagnosed and treated_Sun,TB,42
2022,2022-01,2022-Q1,Myingyan,Mandalay,MMR010017,CBTBC,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Myingyan,Mandalay,MMR010017,Drug Seller,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Myingyan,Mandalay,MMR010017,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Myitkyina,Kachin,MMR001001,SQH,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Myittha,Mandalay,MMR010015,Drug Seller,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Myittha,Mandalay,MMR010015,SQH,TB cases diagnosed and treated_Sun,TB,14
2022,2022-01,2022-Q1,Nawnghkio,Shan (North),MMR015013,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,North Okkalapa,Yangon,MMR013012,CBTBC,TB cases diagnosed and treated_Sun,TB,21
2022,2022-01,2022-Q1,North Okkalapa,Yangon,MMR013012,Drug Seller,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,North Okkalapa,Yangon,MMR013012,SQH,TB cases diagnosed and treated_Sun,TB,39
2022,2022-01,2022-Q1,Nyaunglebin,Bago (East),MMR007005,SQH,TB cases diagnosed and treated_Sun,TB,11
2022,2022-01,2022-Q1,Okpho,Bago (West),MMR008010,Drug Seller,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Padaung,Bago (West),MMR008003,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Padaung,Bago (West),MMR008003,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Pathein,Ayeyarwady,MMR017001,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Pathein,Ayeyarwady,MMR017001,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Patheingyi,Mandalay,MMR010007,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Paung,Mon,MMR011008,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Paungde,Bago (West),MMR008004,CBTBC,TB cases diagnosed and treated_Sun,TB,10
2022,2022-01,2022-Q1,Paungde,Bago (West),MMR008004,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Phyu,Bago (East),MMR007012,Drug Seller,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Pwintbyu,Magway,MMR009008,SQH,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Pyapon,Ayeyarwady,MMR017023,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Pyawbwe,Mandalay,MMR010024,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Pyawbwe,Mandalay,MMR010024,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Pyay,Bago (West),MMR008001,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Pyinmana,Nay Pyi Taw,MMR018006,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Sagaing,Sagaing,MMR005001,SQH,TB cases diagnosed and treated_Sun,TB,36
2022,2022-01,2022-Q1,Sanchaung,Yangon,MMR013039,Drug Seller,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Sanchaung,Yangon,MMR013039,MAM,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Sanchaung,Yangon,MMR013039,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Shwebo,Sagaing,MMR005004,SQH,TB cases diagnosed and treated_Sun,TB,23
2022,2022-01,2022-Q1,Shwepyithar,Yangon,MMR013007,CBTBC,TB cases diagnosed and treated_Sun,TB,17
2022,2022-01,2022-Q1,Shwepyithar,Yangon,MMR013007,Drug Seller,TB cases diagnosed and treated_Sun,TB,13
2022,2022-01,2022-Q1,Shwepyithar,Yangon,MMR013007,SQH,TB cases diagnosed and treated_Sun,TB,39
2022,2022-01,2022-Q1,Singu,Mandalay,MMR010010,CBTBC,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Singu,Mandalay,MMR010010,SQH,TB cases diagnosed and treated_Sun,TB,25
2022,2022-01,2022-Q1,Sintgaing,Mandalay,MMR010014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,South Okkalapa,Yangon,MMR013011,SQH,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Tada-U,Mandalay,MMR010016,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Taikkyi,Yangon,MMR013005,CBTBC,TB cases diagnosed and treated_Sun,TB,22
2022,2022-01,2022-Q1,Taikkyi,Yangon,MMR013005,Drug Seller,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Taikkyi,Yangon,MMR013005,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Tamwe,Yangon,MMR013015,CBTBC,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Tamwe,Yangon,MMR013015,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Tamwe,Yangon,MMR013015,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Tatkon,Nay Pyi Taw,MMR018003,CBTBC,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Tatkon,Nay Pyi Taw,MMR018003,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Taungdwingyi,Magway,MMR009004,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Taungoo,Bago (East),MMR007009,CBTBC,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Taungoo,Bago (East),MMR007009,Drug Seller,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Taungoo,Bago (East),MMR007009,SQH,TB cases diagnosed and treated_Sun,TB,68
2022,2022-01,2022-Q1,Tedim,Chin,MMR004004,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Thabeikkyin,Mandalay,MMR010012,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Thaketa,Yangon,MMR013013,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Thaketa,Yangon,MMR013013,Drug Seller,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Thaketa,Yangon,MMR013013,SQH,TB cases diagnosed and treated_Sun,TB,22
2022,2022-01,2022-Q1,Thanbyuzayat,Mon,MMR011004,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Thanlyin,Yangon,MMR013023,CBTBC,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Thanlyin,Yangon,MMR013023,Drug Seller,TB cases diagnosed and treated_Sun,TB,11
2022,2022-01,2022-Q1,Thanlyin,Yangon,MMR013023,SQH,TB cases diagnosed and treated_Sun,TB,13
2022,2022-01,2022-Q1,Thayarwady,Bago (West),MMR008007,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Thazi,Mandalay,MMR010030,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Thegon,Bago (West),MMR008005,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Thingangyun,Yangon,MMR013009,CBTBC,TB cases diagnosed and treated_Sun,TB,24
2022,2022-01,2022-Q1,Thingangyun,Yangon,MMR013009,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Thingangyun,Yangon,MMR013009,SQH,TB cases diagnosed and treated_Sun,TB,8
2022,2022-01,2022-Q1,Wakema,Ayeyarwady,MMR017017,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Wakema,Ayeyarwady,MMR017017,SQH,TB cases diagnosed and treated_Sun,TB,8
2022,2022-01,2022-Q1,Waw,Bago (East),MMR007004,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Wetlet,Sagaing,MMR005006,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Wundwin,Mandalay,MMR010031,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Yedashe,Bago (East),MMR007010,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Yegyi,Ayeyarwady,MMR017006,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Yenangyaung,Magway,MMR009002,Drug Seller,TB cases diagnosed and treated_Sun,TB,18
2022,2022-01,2022-Q1,Yenangyaung,Magway,MMR009002,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Zalun,Ayeyarwady,MMR017009,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Aunglan,Magway,MMR009016,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Aungmyaythazan,Mandalay,MMR010001,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Aungmyaythazan,Mandalay,MMR010001,SQH Scheme1,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Bago,Bago (East),MMR007001,CBTBC,TB cases diagnosed and treated_Sun,TB,15
2022,2022-02,2022-Q1,Bago,Bago (East),MMR007001,Drug Seller,TB cases diagnosed and treated_Sun,TB,8
2022,2022-02,2022-Q1,Bago,Bago (East),MMR007001,SQH,TB cases diagnosed and treated_Sun,TB,36
2022,2022-02,2022-Q1,Bahan,Yangon,MMR013044,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Bogale,Ayeyarwady,MMR017024,CBTBC,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Bogale,Ayeyarwady,MMR017024,SQH,TB cases diagnosed and treated_Sun,TB,14
2022,2022-02,2022-Q1,Chanmyathazi,Mandalay,MMR010004,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-02,2022-Q1,Chauk,Magway,MMR009003,Drug Seller,TB cases diagnosed and treated_Sun,TB,4
2022,2022-02,2022-Q1,Chauk,Magway,MMR009003,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Dagon Myothit (East),Yangon,MMR013020,Drug Seller,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Dagon Myothit (East),Yangon,MMR013020,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-02,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,Drug Seller,TB cases diagnosed and treated_Sun,TB,6
2022,2022-02,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Dagon Myothit (Seikkan),Yangon,MMR013021,Drug Seller,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Dagon Myothit (Seikkan),Yangon,MMR013021,SQH,TB cases diagnosed and treated_Sun,TB,17
2022,2022-02,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,CBTBC,TB cases diagnosed and treated_Sun,TB,11
2022,2022-02,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,TB cases diagnosed and treated_Sun,TB,23
2022,2022-02,2022-Q1,Dala,Yangon,MMR013030,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Danubyu,Ayeyarwady,MMR017022,CBTBC,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Danubyu,Ayeyarwady,MMR017022,SQH,TB cases diagnosed and treated_Sun,TB,11
2022,2022-02,2022-Q1,Dawbon,Yangon,MMR013014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Gyobingauk,Bago (West),MMR008014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Hinthada,Ayeyarwady,MMR017008,CBTBC,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Hinthada,Ayeyarwady,MMR017008,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Hinthada,Ayeyarwady,MMR017008,SQH Scheme1,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Hlaing,Yangon,MMR013040,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-02,2022-Q1,Hlaing,Yangon,MMR013040,Drug Seller,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Hlaing,Yangon,MMR013040,SQH,TB cases diagnosed and treated_Sun,TB,7
2022,2022-02,2022-Q1,Hlaingbwe,Kayin,MMR003002,SQH,TB cases diagnosed and treated_Sun,TB,9
2022,2022-02,2022-Q1,Hlaingtharya,Yangon,MMR013008,CBTBC,TB cases diagnosed and treated_Sun,TB,10
2022,2022-02,2022-Q1,Hlaingtharya,Yangon,MMR013008,SQH,TB cases diagnosed and treated_Sun,TB,15
2022,2022-02,2022-Q1,Hlegu,Yangon,MMR013004,CBTBC,TB cases diagnosed and treated_Sun,TB,10
2022,2022-02,2022-Q1,Hlegu,Yangon,MMR013004,SQH,TB cases diagnosed and treated_Sun,TB,11
2022,2022-02,2022-Q1,Hmawbi,Yangon,MMR013003,CBTBC,TB cases diagnosed and treated_Sun,TB,22
2022,2022-02,2022-Q1,Hmawbi,Yangon,MMR013003,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Hpa-An,Kayin,MMR003001,SQH,TB cases diagnosed and treated_Sun,TB,39
2022,2022-02,2022-Q1,Hsipaw,Shan (North),MMR015014,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Htantabin,Bago (East),MMR007014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Ingapu,Ayeyarwady,MMR017013,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-02,2022-Q1,Insein,Yangon,MMR013001,Drug Seller,TB cases diagnosed and treated_Sun,TB,8
2022,2022-02,2022-Q1,Insein,Yangon,MMR013001,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Kale,Sagaing,MMR005027,CBTBC,TB cases diagnosed and treated_Sun,TB,13
2022,2022-02,2022-Q1,Kale,Sagaing,MMR005027,SQH,TB cases diagnosed and treated_Sun,TB,34
2022,2022-02,2022-Q1,Kanbalu,Sagaing,MMR005007,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Kangyidaunt,Ayeyarwady,MMR017002,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-02,2022-Q1,Kawa,Bago (East),MMR007003,SQH,TB cases diagnosed and treated_Sun,TB,10
2022,2022-02,2022-Q1,Kawhmu,Yangon,MMR013028,CBTBC,TB cases diagnosed and treated_Sun,TB,16
2022,2022-02,2022-Q1,Kawhmu,Yangon,MMR013028,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-02,2022-Q1,Kayan,Yangon,MMR013026,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-02,2022-Q1,Kyaiklat,Ayeyarwady,MMR017025,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-02,2022-Q1,Kyaikto,Mon,MMR011009,SQH,TB cases diagnosed and treated_Sun,TB,17
2022,2022-02,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-02,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,Drug Seller,TB cases diagnosed and treated_Sun,TB,10
2022,2022-02,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,TB cases diagnosed and treated_Sun,TB,10
