Event Year,Event Month,Event Year-Quarter,Township,State/Region,Township pcode,Channel,Program,Indicator Name,consultation
2018,2018-02,2018-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
2018,2018-02,2018-Q1,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,6
2018,2018-02,2018-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,6
2018,2018-02,2018-Q1,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,4
2018,2018-02,2018-Q1,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2018,2018-03,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,Newly on ART,2
2018,2018-03,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,Newly on ART,2
2018,2018-03,2018-Q1,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,6
2018,2018-03,2018-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,4
2018,2018-03,2018-Q1,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,3
2018,2018-03,2018-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,3
2018,2018-03,2018-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,4
2018,2018-03,2018-Q1,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,6
2018,2018-03,2018-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,6
2018,2018-03,2018-Q1,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,3
2018,2018-03,2018-Q1,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,3
2018,2018-03,2018-Q1,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2018,2018-03,2018-Q1,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,2
2018,2018-04,2018-Q2,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,Newly on ART,2
2018,2018-04,2018-Q2,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,3
2018,2018-04,2018-Q2,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,1
2018,2018-04,2018-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2018,2018-04,2018-Q2,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,1
2018,2018-04,2018-Q2,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,6
2018,2018-04,2018-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,4
2018,2018-04,2018-Q2,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2018,2018-04,2018-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,5
2018,2018-04,2018-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,7
2018,2018-04,2018-Q2,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,4
2018,2018-04,2018-Q2,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,2
2018,2018-05,2018-Q2,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Monywa,Sagaing,MMR005012,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Sagaing,Sagaing,MMR005001,SQH,HIV,Newly on ART,2
2018,2018-05,2018-Q2,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,5
2018,2018-05,2018-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,3
2018,2018-05,2018-Q2,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2018,2018-05,2018-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,11
2018,2018-05,2018-Q2,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,2
2018,2018-05,2018-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,4
2018,2018-05,2018-Q2,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,2
2018,2018-05,2018-Q2,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Bago,Bago (East),MMR007001,SQH,HIV,Newly on ART,3
2018,2018-06,2018-Q2,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,3
2018,2018-06,2018-Q2,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,3
2018,2018-06,2018-Q2,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,2
2018,2018-06,2018-Q2,Monywa,Sagaing,MMR005012,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Sagaing,Sagaing,MMR005001,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2018,2018-06,2018-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,2
2018,2018-06,2018-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,3
2018,2018-06,2018-Q2,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,1
2018,2018-06,2018-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,5
2018,2018-06,2018-Q2,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,4
2018,2018-07,2018-Q3,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,3
2018,2018-07,2018-Q3,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2018,2018-07,2018-Q3,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,9
2018,2018-07,2018-Q3,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,2
2018,2018-07,2018-Q3,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2018,2018-07,2018-Q3,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,2
2018,2018-07,2018-Q3,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,2
2018,2018-08,2018-Q3,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,6
2018,2018-08,2018-Q3,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2018,2018-08,2018-Q3,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,2
2018,2018-08,2018-Q3,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,7
2018,2018-08,2018-Q3,Mayangone,Yangon,MMR013042,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2018,2018-08,2018-Q3,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,2
2018,2018-08,2018-Q3,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,4
2018,2018-09,2018-Q3,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,1
2018,2018-09,2018-Q3,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,3
2018,2018-09,2018-Q3,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2018,2018-09,2018-Q3,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,2
2018,2018-09,2018-Q3,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,2
2018,2018-09,2018-Q3,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,5
2018,2018-09,2018-Q3,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,2
2018,2018-09,2018-Q3,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,5
2018,2018-09,2018-Q3,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,11
2018,2018-09,2018-Q3,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,8
2018,2018-09,2018-Q3,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,2
2018,2018-09,2018-Q3,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,4
2018,2018-10,2018-Q4,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,4
2018,2018-10,2018-Q4,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,1
2018,2018-10,2018-Q4,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,2
2018,2018-10,2018-Q4,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,3
2018,2018-11,2018-Q4,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,3
2018,2018-11,2018-Q4,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,4
2018,2018-11,2018-Q4,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2018,2018-11,2018-Q4,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,5
2018,2018-11,2018-Q4,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,10
2018,2018-11,2018-Q4,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,4
2018,2018-11,2018-Q4,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,1
2018,2018-11,2018-Q4,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,1
2018,2018-11,2018-Q4,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,2
2018,2018-12,2018-Q4,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,9
2018,2018-12,2018-Q4,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,4
2018,2018-12,2018-Q4,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2018,2018-12,2018-Q4,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,2
2018,2018-12,2018-Q4,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,4
2018,2018-12,2018-Q4,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2019,2019-01,2019-Q1,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,2
2019,2019-01,2019-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,2
2019,2019-01,2019-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,2
2019,2019-01,2019-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,3
2019,2019-01,2019-Q1,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,5
2019,2019-01,2019-Q1,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,3
2019,2019-01,2019-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Mayangone,Yangon,MMR013042,SQH,HIV,Newly on ART,5
2019,2019-01,2019-Q1,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,3
2019,2019-01,2019-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,6
2019,2019-01,2019-Q1,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,1
2019,2019-01,2019-Q1,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,1
2019,2019-02,2019-Q1,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,2
2019,2019-02,2019-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,2
2019,2019-02,2019-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,7
2019,2019-02,2019-Q1,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2019,2019-02,2019-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,1
2019,2019-02,2019-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,1
2019,2019-02,2019-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,16
2019,2019-02,2019-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,12
2019,2019-02,2019-Q1,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2019,2019-02,2019-Q1,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,1
2019,2019-03,2019-Q1,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,1
2019,2019-03,2019-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2019,2019-03,2019-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,1
2019,2019-03,2019-Q1,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,2
2019,2019-03,2019-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2019,2019-03,2019-Q1,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2019,2019-03,2019-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,3
2019,2019-03,2019-Q1,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,3
2019,2019-03,2019-Q1,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,2
2019,2019-03,2019-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,7
2019,2019-03,2019-Q1,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,4
2019,2019-03,2019-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,5
2019,2019-03,2019-Q1,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,3
2019,2019-03,2019-Q1,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,1
2019,2019-03,2019-Q1,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2019,2019-04,2019-Q2,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,3
2019,2019-04,2019-Q2,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,3
2019,2019-04,2019-Q2,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,3
2019,2019-04,2019-Q2,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,9
2019,2019-04,2019-Q2,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,2
2019,2019-04,2019-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,1
2019,2019-04,2019-Q2,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,3
2019,2019-04,2019-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,5
2019,2019-04,2019-Q2,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,2
2019,2019-04,2019-Q2,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2019,2019-05,2019-Q2,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,2
2019,2019-05,2019-Q2,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,1
2019,2019-05,2019-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,1
2019,2019-05,2019-Q2,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,2
2019,2019-05,2019-Q2,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,6
2019,2019-05,2019-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,1
2019,2019-05,2019-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,12
2019,2019-05,2019-Q2,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,3
2019,2019-05,2019-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,3
2019,2019-05,2019-Q2,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,5
2019,2019-06,2019-Q2,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,3
2019,2019-06,2019-Q2,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2019,2019-06,2019-Q2,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,5
2019,2019-06,2019-Q2,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,1
2019,2019-06,2019-Q2,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,5
2019,2019-06,2019-Q2,Bahan,Yangon,MMR013044,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,9
2019,2019-06,2019-Q2,Hlegu,Yangon,MMR013004,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,1
2019,2019-06,2019-Q2,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,8
2019,2019-06,2019-Q2,Mayangone,Yangon,MMR013042,SQH,HIV,Newly on ART,8
2019,2019-06,2019-Q2,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,4
2019,2019-06,2019-Q2,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,9
2019,2019-06,2019-Q2,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,5
2019,2019-06,2019-Q2,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,3
2019,2019-06,2019-Q2,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,4
2019,2019-06,2019-Q2,Thaketa,Yangon,MMR013013,SQH,HIV,Newly on ART,2
2019,2019-06,2019-Q2,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2019,2019-07,2019-Q3,Bhamo,Kachin,MMR001010,SQH,HIV,Newly on ART,1
2019,2019-07,2019-Q3,Myitkyina,Kachin,MMR001001,SQH,HIV,Newly on ART,4
2019,2019-07,2019-Q3,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
2019,2019-07,2019-Q3,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,5
2019,2019-07,2019-Q3,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,2
2019,2019-07,2019-Q3,Mayangone,Yangon,MMR013042,SQH,HIV,Newly on ART,3
2019,2019-07,2019-Q3,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,1
2019,2019-07,2019-Q3,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,5
2019,2019-07,2019-Q3,Shwepyithar,Yangon,MMR013007,SQH,HIV,Newly on ART,1
2019,2019-07,2019-Q3,South Okkalapa,Yangon,MMR013011,SQH,HIV,Newly on ART,3
2019,2019-07,2019-Q3,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,2
2019,2019-08,2019-Q3,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,3
2019,2019-08,2019-Q3,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,4
2019,2019-08,2019-Q3,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,2
2019,2019-08,2019-Q3,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,3
2019,2019-08,2019-Q3,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,1
